Keysight E1733A String Table
SimpChn

[1],Linear,线性
[4006],Click to start straightness measurement |Use straightness optics to determine if a machine抯 moveable part is moving along a straight path,单击开始直线度测量|采用直线度光具测量导轨的直线度误差
[4007],"Click to start diagonal measurement |Use for volumetric analysis, as described in ANSI standard B5.54",单击开始对角线测量|标定对角线上的定位精度
[4008],"Click to start squareness measurement |Use to determine if two machine axes are oriented, and move, perpendicular to each other",单击开始垂直度测量|测量机床各主轴之间的垂直度误差
[4009],Click to start the parallelism measurement |Use to determine if two machine axes move parallel to each other,单击开始平行度测量|测量机床的主轴平行度或共平面平行度
[4010],Click to start the flatness measurement |Measure the flatness error of a surface plate,单击开始平面度测量|测量被测平面的平面度误差
[4011],Click to start dual axis measurement |Calibrate the linear position accuracy of two linear guide synchronously,单击开始线性双轴测量|同步标定两条导轨的线性定位精度
[4012],Click to start time base angular measurement |Measure angle value over time,单击开始基于时间的角度测量|测量随时间变化的角度数值
[4013],Click to start time base straightness measurement |Measurement straightness value over time,单击开始基于时间的直线度测量|测量随时间变化的直线度数值
[4014],Setup basic options,设置软件的基本选项
[4015],Open the help file,打开帮助文件
[4016],Exit the program,退出软件
[4017],Open an existing file |Start or review a measurement using saved data,打开已有的文件|根据其中保存的内容开始测量
[4018],Display one less decimal place,少显示一位数字
[4019],Display one more decimal place,多显示一位数字
[4020],Change the sign of upper display number,改变上显示数值的正负符号
[4021],Change the sign of lower display number,改变下显示数值的正负符号
[4022],The status of the measurement module of second axis |Click to enter hardware setup menu,第二单轴测量模块的工作状态|单击进入硬件设置页面
[4023],The software is running in demo mode |Click to enter hardware setup menu,软件工作在演示模式|单击进入硬件设置页面
[4024],The status of the laser head |Click to enter the hardware setup menu,激光头的工作状态|单击进入硬件设置页面
[4025],The status of the second laser head |Click to enter the hardware setup menu,第二激光头的工作状态|单击进入硬件设置页面
[4026],The status of the single axis measurement module |Click to enter the hardware setup menu,单轴测量模块的工作状态|单击进入硬件设置页面
[4027],The status of the sensor interface card |Click to enter the hardware setup menu,传感器接口卡的工作状态|单击进入硬件设置页面
[4028],The communication status of the single axis measurement module |Click to enter the hardware setup menu,单轴测量模块的通讯负荷状态|单击进入硬件设置页面
[4029],Display the line correspond to the number on the right side as the first line,把右侧数字对应的行显示为第一行
[4030],Select the program to use for the download operation,选择执行下载操作的运行文件
[4031],Run the selected download program,执行用户自定义的下载操作
[4032],Increase font size,放大字体
[4033],Decrease font size,缩小字体
[4034],Display the graph symmetrically,对称显示全图
[4035],Display the graph,显示全图
[4036],"Enlarge the designated area |Press left button of the mouse, drag the pointer, and release the button",放大指定区域|在图面上按住鼠标左键，然后拖动鼠标，最后放开左键
[4037],Zoom in,放大显示比例
[4038],Zoom out,缩小显示比例
[4039],Copy the current data or graph to the clipboard,把当前数据表或图表复制到剪贴板
[4040],The status of the measurement,测量的当前状态
[4041],The progress of the measurement,测量的完成进度
[4042],Compensation table |Double click to enlarge or reduce,补偿表|双击进行放大或者复原
[4043],Machine information |Double click to enter machine information menu,机器信息|双击进入机器信息设置页面
[4044],Measurement setup |Double click to  enter measurement setup interface,测量设置|双击进入测量设置页面
[4045],Measurement results |Double click to enter the data analysis menu,测量结果|双击进入数据分析设置页面
[4046],Save measurement settings or data,保存测量设置或数据
[4047],Print measurement results or report,打印测量结果或报告
[4048],Start or continue the measurement,开始或继续测量
[4049],Record measurement data manually,手动记录测量数据
[4050],Pause the measurement,暂时停止测量
[4051],Display help information,显示帮助信息
[4052],Stop the measurement,结束本次测量
[4053],Erase the measurement data,删除测量数据
[4054],"Reset laser data, erase error mark",激光数据归零、消除错误标志
[4055],"Input measurement settings, measurement data or machine information",读入测量设置、测量数据或机器信息
[4056],Set up parameters,设置参数
[4057],Hardware information of the connected equipment,已连接设备的硬件信息
[4058],The information of the connection and distribution of the sensors,传感器的端口的连接和分配情况
[4059],The list of the target positions,目标位置列表
[4060],The list of the target positions of the second axis,第二轴的目标位置列表
                                                                                
