Keysight E1733A String Table
SimpChn

[1],Linear,线性
[214],Optics Out Of Range,光具超出范围
[215],Nameplate,铭牌
[216],Step 1: Reset laser and rotary at 0 arcdeg,步骤 1: 激光和转角复位到 0 arcdeg
[217],Step 2: Sample between -3 and -4 arcdeg,步骤 2: 在 -3 到 -4 arcdeg 之间采样
[218],Step 3: Sample between +3 and +4 arcdeg,步骤 3: 在 +3 到 +4 arcdeg 之间采样
[219],Agilent Technologies Inc.,Agilent Technologies Inc.
[220],Revision,Revision
[221],Dimensional Metrology Software,Dimensional Metrology Software
[222],All Rights Reserved,All Rights Reserved
[223],Open,打开
[224],Setup,设置
[225],Start,开始
[226],Reset,复位
[227],Continue,继续
[228],Stop,停止
[229],Save,保存
[230],Print,打印
[231],Record,记录
[232],Erase,删除
[233],Help,帮助
[234],Exit,退出
[235],OK,确认
[236],Cancel,取消
[237],Calibrate,校准
[238],Recalculate,重新计算
[239],Apply,应用
[240],Import,导入
[241],Setup + Data,设置和数据
[242],All Data,全部数据
[243],Last Run,最后一组数据
[244],Last Data,最后一个数据
[245],Setup Only,仅有设置
[246],Raw Data,原始数据
[247],Compensation Table,补偿表
[248],Environmental Data,环境数据
[249],Setup Printer,设置打印机
[250],Report,报告
[251],Collecting data . . .,正在收集数据 . . .
[252],Text File,文本文件
[253],CSV (comma delimited),CSV (逗号分隔)
[254],Plus/Minus,加/减
[255],Closure,闭合
[256],Elevation,高差
[257],Data Point,数据点
[258],Combined,组合
[259],Forward,正向
[260],Reverse,反向
[261],Warning,警告
[262],Tested Axis,检验的轴线
[263],Axis Deviation,轴向偏差
[264],Reversal Value,反向差值
[265],Mean Reversal Value,平均反向差值
[266],Range Mean Bidirectional Positional Deviation,双向平均位置偏差的范围
[267],Systematic Positional Deviation,定位系统偏差
[268],Repeatability of Positioning,重复定位精度
[269],Accuracy,定位精度
[270],Unidirectional,单向
[271],Bidirectional,双向
[272],Not Applicable,不适用
[273],Target Position,目标位置
[274],Approach Direction,趋近方向
[275],Positional Deviation,位置偏差
[276],Mean Unidir. Pos. Dev.,单向平均位置偏差
[277],Est. of Standard Uncertainty,标准不确定度
[278],Unidir. Repeatability,单向重复定位偏差
[279],Bidir. Repeatability,双向重复定位精度
[280],(Used for NDE Correction),(用于NDE修正)
[281],Data not saved,数据未保存
[282],Measurement not completed,测量未结束
[283],Reset position?,位置复位？
[284],Measurement completed,测量完成
[285],Measurement terminated,测量中断
[286],Measurement completed with %d data lost,测量完成但有 %d 个数据丢失
[287],Measurement of current axis completed,当前轴测量完成
[288],Cannot open file,无法打开文件
[289],Cannot save file,无法保存文件
[290],%s / %s must be an integer,%s / %s 必须为整数
[291],Inconsistent values,数值不匹配
[292],Invalid entry,无效输入
[293],No. of cycles doesn't comply ISO standard. Print?,循环次数不符合ISO标准。打印？
[294],All Files,所有文件
[295],Legacy Files,遗留文件
[296],Firmware,固件
[297],Driver,驱动
[298],Library,库文件
[299],User Calibration,用户校准
[300],Shift,偏移
[301],Modify data by user?,用户修改数据？
[302],Optics,光学组件
[303],Default,缺省值
[304],Saved,保存值
[305],Average Material Temp.,平均材料温度
[306],Current Axis,当前轴
[307],Extended Resolution,扩展分辨率
[308],Data Lost,数据丢失
[309],Information,信息
[310],Keyboard Position,键盘位置
[311],Outside Target Window,在目标窗口外
[312],Inside Target Window,在目标窗口中
[313],Target List,目标列表
[314],Interpolate,内插
[315],Compensation Values,补偿值
[316],None,无
[317],Already running [%s] software,[%s] 软件已在运行
[318],Offline Mode,离线模式
[319],Main Menu,主菜单
[320],Numeric Display,数值显示
[321],Default Display Mode,缺省显示模式
[322],Advanced Options,高级选项
[323],Pos. Uncertnty,位置不确定度
[324],Sorted by position number,按位置编号排序
[325],Sorted by run number,按运行编号排序
[326],Sorted by line number,按行号排序
[327],Number of total data pairs,全部数据个数
[328],Number of total data runs,全部运行次数
[329],Axis 2 Data,轴 2 数据
[330],Out of spec,超出范围
[331],Target Value,目标值
[332],Error Value,误差值
[333],Pos #,位置#
[334],Run #,运行#
[335],Line #,行号
[336],Point #,点号
[337],Position,位置
[338],Coefficient of Thermal Expansion,热膨胀系数
[339],Compensation Routine,补偿程序
[340],Update Each %s ,更新间隔 %s
[341],Equation,公式
[342],Parameter,参数
[343],Air Conditions Used for Compensation of Laser Interferometer,用于补偿激光干涉仪的大气条件
[344],Positioning Measurement,位置测量
[345],Estimation of Measurement Uncertainty,测量不确定度估计
[346],Laser Interferometer Measurement,激光干涉仪
[347],Simplified Method,简化方法
[348],Average Industial Conditions,普通的工业条件
[349],Improved Industrial Conditions,改进的工业条件
[350],Contributors,影响因素
[351],Device,设备
[352],Measurement Length,测量长度
[353],Error Range,误差范围
[354],Alignment,准直
[355],Beam Alignment,光束准直
[356],Misalignment,偏离准直
[357],Compensation of Workpiece Temperature,工件温度补偿
[358],Thermal Expansion Coefficient,热膨胀系数
[359],Difference to 20C, 与 20C 的差异
[360],Temperature Measurement,温度测量
[361],Maximum,最大
[362],Machine Tool,机床
[363],Zero,零
[364],Included in U(%s),已包含于U(%s)
[365],Environmental Variation,环境变动?
[366],Correction of R Values Due to U(EVE),由U(EVE)造成的R值修正
[367],Correction of Repeatability Values,重复值的修正
[368],According to Table,依照表格
[369],Typical Results,典型结果
[370],At Target %s,在目标%s
[371],For R According to Table,依照表格应用于R
[372],Corrected,修正后
[373],Uncorrected,未修正
[374],Assumed,假定的
[375],Calibrated Measuring Device,已校准的测量设备
[376],Uncertainty of Expansion Coefficient,膨胀系数的不确定度
[377],Unit,单位
[378],Amplitude,幅值
[379],Frequency,频率
[380],Show Legend,显示图例
[381],Show Machine Info.,显示机器信息
[382],Merge Data,合并数据
[383],Can't combine different data types or target lists,不能组合不同数据类型或目标列表.
[384],Synchronized Operation,同步操作
[385],Demo Mode,演示模式
[386],Rotary Table,转台
[387],Printer,打印机
[388],Copies,份数
[389],Orientation,方向
[390],Portrait,纵向
[391],Landscape,横向
[392],Download,下载
[393],User defined download program,用户自定义的下载程序
[394],File not found,找不到文件
[395],Show Hint,显示提示
[396],Extra Margin,额外空白
[397],Left,左边
[398],Top,顶边
[399],Right,右边
[400],Bottom,底边
[401],Calibration Due,校准到期
[402],Calibration Expired,校准过期
[403],Calibration Period,校准周期
[404],Month,月
[405],Dual Axis,双轴
[406],Single Axis,单轴
[407],Hysteresis,滞后

[1001],Install,安装
[1002],[%s] will be installed in the following folder,[%s] 将被安装到下面的文件夹
[1003],[%s] has been successfully installed,[%s] 已经成功安装完毕
[1004],Failed to install [%s],安装 [%s] 失败
[1005],Remove,移除
[1006],Remove all components of [%s],移除 [%s] 的所有部件
[1007],[%s] has been removed,[%s] 已经被删除
[1008],Failed to remove [%s],删除 [%s] 失败
[1009],Reinstall,重新安装
[1010],Please close program [%s] first,请先关闭 [%s] 软件
[1011],Install Path,安装路径
[1012],User Data,用户数据
[1013],User data will not be deleted,用户数据不会被删除
[1014],Agree,同意
[1015],Do Not Agree,不同意
[1016],Customize,定制
[1017],Customize user interface and advanced options of [%s],定制[%s]的用户界面和高级选项
[1018],Repair,修复
[1019],Repair system settings and reinstall driver,修复系统设定并重装驱动程序

[2001],Existing Calibration,已有校准
[2002],New Calibration,新建校准
[2003],Raw Value,原始值
[2004],Calibrated,修正值
[2005],Reference,参考值
[2006],Temperature,温度
[2007],Write Sensor,写入传感器
[2008],Sensor Calibration,传感器校准
[2009],Sensor has been updated,传感器已更新
[2010],Discard changes,放弃改变
[2011],Cannot access sensor,无法存取传感器

[3001],Laser position,激光位置
[3002],Laser position 2,激光位置2
[3003],Error value,误差值
[3004],Target position,目标位置
[3005],Encoder reading,编码器读数
[3006],Rotary table reading,转台读数
[3007],Rotary angle,旋转角度
[3008],Elapsed time,经历的时间
[3009],Motion velocity,运动速度
[3010],Target position number,目标站点的编号
[3011],Click to change lower display,单击改变下排显示项目
[3012],Click to change upper display,单击改变上排显示项目
[3013],Beam strength 2,光束强度2
[3014],beam strength,光束强度
