Keysight E1733A String Table
Italian

[1],Linear,Lineare
[220],Revision,
[221],Dimensional Metrology Software,
[222],All Rights Reserved,
[223],Open,
[224],Setup,impostazione
[225],Start,
[226],Reset,
[227],Continue,Continua
[228],Stop,
[229],Save,
[230],Print,Stampa
[231],Record,Registra
[232],Erase,Cancella
[233],Help,
[234],Exit,
[235],OK,OK
[236],Cancel,Annulla
[237],Calibrate,
[238],Recalculate,
[239],Apply,
[240],Import,
[241],Setup + Data,Impost. e dati
[242],All Data,
[243],Last Run,
[244],Last Data,
[245],Setup Only,Solo impost.
[246],Raw Data,
[247],Compensation Table,
[248],Environmental Data,Dati ambientali
[249],Setup Printer,
[250],Report,
[251],Collecting data . . .,
[252],Text File,
[253],CSV (comma delimited),
[254],Plus/Minus,Pi?meno
[255],Closure,
[256],Elevation,Elevazione
[257],Data Point,
[258],Combined,Combinata
[259],Forward,Avanti
[260],Reverse,Indietro
[261],Warning,
[262],Tested Axis,
[263],Axis Deviation,
[264],Reversal Value,Inversione
[265],Mean Reversal Value,Valore inversione medio
[266],Range Mean Bidirectional Positional Deviation,
[267],Systematic Positional Deviation,
[268],Repeatability of Positioning,Ripetibilit?posizionamento
[269],Accuracy,Accuratezza
[270],Unidirectional,Unidirezionale
[271],Bidirectional,Bidirezionale
[272],Not Applicable,
[273],Target Position,Pos. traguardo
[274],Approach Direction,Direzione approccio
[275],Positional Deviation,standard Sj
[276],Mean Unidir. Pos. Dev.,
[277],Est. of Standard Uncertainty,Deviazione
[278],Unidir. Repeatability,
[279],Bidir. Repeatability,
[280],(Used for NDE Correction),
[281],Data not saved,
[282],Measurement not completed,
[283],Reset position?,
[284],Measurement completed,
[285],Measurement terminated,
[286],Measurement completed with %d data lost,
[287],Measurement of current axis completed,
[288],Cannot open file,
[289],Cannot save file,
[290],%s / %s must be an integer,
[291],Inconsistent values,
[292],Invalid entry,
[293],No. of cycles doesn't comply ISO standard. Print?,
[294],All Files,
[295],Legacy Files,
[296],Firmware,
[297],Driver,
[298],Library,
[299],User Calibration,
[300],Shift,
[301],Modify data by user?,
[302],Optics,Ottiche
[303],Default,predefinito
[304],Saved,
[305],Average Material Temp.,Temp. media materiale
[306],Current Axis,
[307],Extended Resolution,Risoluzione estesa
[308],Data Lost,
[309],Information,
