Keysight E1733A String Table
German

[158],Dwell Time at Each Target Position,Verweilzeit in jeder Zielposition
[159],Measuring Information,Messinformation
[160],Measuring Instrument and Serial No.,Messinstrument und Seriennr.
[161],Name of Inspector,Name des Prüfers
[162],Date of Test,Datum des Tests
[163],Machine Name,Name der Maschine
[164],Machine Type,Maschinentyp
[165],Machine Serial No.,SerienNr der Masch.
[166],Machine Name; Type and Serial No.,Name der Maschine; MaschinTyp  Seriennr.
[167],Test Location,Test Standort
[168],Position of axes not under test,Position der Axen nicht unter test
[169],Coefficient of Thermal Expansion of Scale,Wärmeausdehnungskoeffizent der Skala
[170],Offset to Tool Reference (X/Y/Z),offset zur Werkstückreferenz (X/Y/Z)
[171],Offset to Workpiece Reference (X/Y/Z),offset zur Werkstückreferenz (X/Y/Z)
[172],Stop Timer,Ztgbr stoppen
[173],Start Timer,Ztgbr starten
[174],Timer,Zeitmesser
[175],No. of Points,Anz. Punkte
[176],Total Time,Gesamtzeit
[177],Coverage Factor,Erweiterungsfakt.
[178],Numerical Analysis,Numerische Analyse
[179],Graphic Analysis,Grafische Analyse
[180],Machine Model No.,Masch-Modell-Nr.
[181],Asset No.,Inventarnr.
[182],Filename,Dateiname
[183],Comments,Bemerkungen
[184],End Point Time Out,Max. Verweilzeit
[185],Time Base,Zeitbasis
[186],Default Path,Standardpfad
[187],Language,Sprache
[188],System,System
[189],Error Sign Convention,Vorzeichenfehler
[190],Zero Point,Masch.-Nullpunkt
[191],Machine Units,Einheit - Maschine
[192],Measurement Setup,Messungs-Setup
[193],Machine Information,Maschinendaten
[194],ISO Information,ISO Information
[195],Data Analysis,Daten Analyse
[196],Axis:,Achse
[197],Deviation,Abweichung
[198],Port,Port
[199],Sensor,Sensor
[200],Description,Beschreibung
[201],Used for,Benutzt für
[202],USB Axis Module,USB Achsenmodul
[203],Sensor Hub,Sensor Hub
[204],Material Sensor,Materialfühler
[205],Air Sensor,Luftfühler
[206],Serial No.,Seriennr.
[207],Hardware,Hardware
[208],Test Record Button,Test- Messung
[209],Hardware Not Ready,Hardware nicht bereit
[210],No License,Keine Lizenz
[211],Laser Off or Warming Up,Laser aus oder läuft an
[212],No Return Beam,Kein Rückstrahl
[213],Reset Position,Pos. rückstellen
[214],Optics Out Of Range,Optik außh. Meßbereich
[215],Nameplate,Typenschild
[216],Step 1: Reset laser and rotary at 0 arcdeg,Schritt 1: Laser zurückstellen und Rotation auf 0 arcdeg
[217],Step 2: Sample between -3 and -4 arcdeg,Schritt 2: Auswahl zwischen -3 und -4 arcdeg
[218],Step 3: Sample between +3 and +4 arcdeg,Schritt 3: Auswahl zwischen +3 und +4 arcdeg
[219],Keysight Technologies Inc.,Keysight Technologies Inc.
[220],Revision,Korrektur
