Keysight E1733A String Table
Japanese

[1],Linear,長さ
[4034],Display the graph symmetrically,縦軸を上下対象にします
[4035],Display the graph,表示を元にもどします
[4036],"Enlarge the designated area |Press left button of the mouse, drag the pointer, and release the button",選択した部分を拡大|マウスの左ボタンを押してドラッグ
[4037],Zoom in,拡大
[4038],Zoom out,縮小
[4039],Copy the current data or graph to the clipboard,表示されているグラフ/データをクリップボードにコピーします
[4040],The status of the measurement,測定中
[4041],The progress of the measurement,進捗状況(%)
[4042],Compensation table |Double click to enlarge or reduce,補正テーブル
[4043],Machine information |Double click to enter machine information menu,機械情報|ダブルクリックで入力画面が開きます
[4044],Measurement setup |Double click to  enter measurement setup interface,測定セットアップ表示|ダブルクリックで設定画面が開きます
[4045],Measurement results |Double click to enter the data analysis menu,測定統計データ表示|ダブルクリックでデータ解析メニューが開きます
[4046],Save measurement settings or data,測定結果/設定を保存します
[4047],Print measurement results or report,測定結果をプリントします
[4048],Start or continue the measurement,測定開始/再開
[4049],Record measurement data manually,手動トリガ
[4050],Pause the measurement,測定中断
[4051],Display help information,
[4052],Stop the measurement,測定を終了します
[4053],Erase the measurement data,測定データを削除します
[4054],"Reset laser data, erase error mark",表示値リセット エラークリア
[4055],"Input measurement settings, measurement data or machine information",保存データ/設定の読み出し
[4056],Set up parameters,セットアップメニューを開く
[4057],Hardware information of the connected equipment,
[4058],The information of the connection and distribution of the sensors,接続されているセンサーの情報
[4059],The list of the target positions,
[4060],The list of the target positions of the second axis,
i
