Keysight E1733A String Table
Spanish

[1],Linear,Lineal
[182],Filename,Nombre archivo
[183],Comments,Comentarios
[184],End Point Time Out,
[185],Time Base,BASE DE TIEMPOS
[186],Default Path,Ruta por Defecto
[187],Language,Lenguaje
[188],System,Sistema
[189],Error Sign Convention,Convención del signo
[190],Machine Zero Point,Pto cero máquina
[191],Machine Units,Unidades máquina
[192],Measurement Setup,Configurar medición
[193],Machine Information,Información de la máquina
[194],ISO Information,ISO Informacion
[195],Data Analysis,Análisis de Datos
[196],Axis:,Eje
[197],Deviation,Desviación
[198],Port,Puerta
[199],Sensor,Sensor
[200],Description,Descripción
[201],Used for,Usado para
[202],USB Axis Module,USB Módulo Eje
[203],Sensor Hub,Sensor Hub
[204],Material Sensor,Sensor Material
[205],Air Sensor,Sensor Aire
[206],Serial No.,N?de serie
[207],Hardware,Hardware
[208],Test Record Button,Prueba del botón Registrar
[209],Hardware Not Ready,Hardware No Listo
[210],No License,No Licencia
[211],Laser Off or Warming Up,Láser desactivado o calentándose
[212],No Return Beam,No Retorno del Haz
[213],Reset Position,Reset posición
[214],Optics Out Of Range,Óptica fuera del rango
[215],Nameplate,Placa patrón
[216],Step 1: Reset laser and rotary at 0 arcdeg,Step 1: Reset laser y rotar a 0 arcdeg
[217],Step 2: Sample between -3 and -4 arcdeg,Step 2: Muestra entre -3 y -4 arcdeg
[218],Step 3: Sample between +3 and +4 arcdeg,Step 3: Muestra entre +3 y +4 arcdeg
[219],Agilent Technologies Inc.,Agilent Technologies Inc.
[220],Revision,Revision
[221],Dimensional Metrology Software,Software de Medición Dimensional
[222],All Rights Reserved,Todos los derechos reservados
[223],Open,Abrir
[224],Setup,Configuración
[225],Start,Inicio
[226],Reset,Reset
[227],Continue,Continuar
[228],Stop,Stop
[229],Save,Salvar
[230],Print,Imprimir
[231],Record,Registrar
[232],Erase,Borrar
[233],Help,Ayuda
[234],Exit,Salir
[235],OK,Aceptar
[236],Cancel,Cancelar
[237],Calibrate,Calibrar
[238],Recalculate,Recalcular
[239],Apply,Aplicar
[240],Import,Importar
[241],Setup + Data,Config. + datos
[242],All Data,Todos
[243],Last Run,Ultimo Recorrido
[244],Last Data,Ultimos datos
[245],Setup Only,Sólo config.
[246],Raw Data,Raw Data
[247],Compensation Table,Tabl de Compensación
[248],Environmental Data,Datos del ambiente
[249],Setup Printer,Conf. Impresora
[250],Report,Informe
[251],Collecting data . . .,Captando datos . . .
[252],Text File,Text File
[253],CSV (comma delimited),CSV (comma delimited)
[254],Plus/Minus,Más/Menos
[255],Closure,Cierre
[256],Elevation,Elevación
[257],Data Point,Punto
[258],Combined,Combinado
[259],Forward,Ida
[260],Reverse,Vuelta
[261],Warning,Precaución
[262],Tested Axis,Eje Analizado
[263],Axis Deviation,Desviación del Eje
[264],Reversal Value,recor. de vuelta
[265],Mean Reversal Value,Media valor rec. vuelta
[266],Range Mean Bidirectional Positional Deviation,
[267],Systematic Positional Deviation,Desviación Sistemática de Posicionado
[268],Repeatability of Positioning,Repetitibilidad de posic.Repetitibilidad de posic.
[269],Accuracy,Precisión
[270],Unidirectional,Unidireccional
[271],Bidirectional,Bidireccional
[272],Not Applicable,No Aplica
[273],Target Position,Posición objetivo
[274],Approach Direction,Dirección
[275],Positional Deviation,estándar Sj
[276],Mean Unidir. Pos. Dev.,Dev. Pos. Unid. Media
[277],Est. of Standard Uncertainty,Desviación
[278],Unidir. Repeatability,Unidir. Repetibilidad
[279],Bidir. Repeatability,Bidir. Repetibilidad
[280],(Used for NDE Correction),
[281],Data not saved,Datos no salvados
[282],Measurement not completed,Medición Incompleta
[283],Reset position?,Reset posición?
[284],Measurement completed,Medición Completada
[285],Measurement terminated,Medición Finalizada
[286],Measurement completed with %d data lost,Medición completada pero con %d datos perdidos
[287],Measurement of current axis completed,Medición del eje completada
[288],Cannot open file,No puede abrir archivo
[289],Cannot save file,No puede salvar archivo
[290],%s / %s must be an integer,%s / %s: debe ser entero
[291],Inconsistent values,valores Inconsistentes
[292],Invalid entry,Entrada Invalida
[293],No. of cycles doesn't comply ISO standard. Print?,No. of cycles doesn't comply ISO standard.¿Imprimir?
[294],All Files,Tosdos los archivos
[295],Legacy Files,Legacy Files
[296],Firmware,Firmware
[297],Driver,Driver
[298],Library,Libreria
[299],User Calibration,Calibracion de Usuario
[300],Shift,Cambio
[301],Modify data by user?,
[302],Optics,Óptica
[303],Default,predeterminado
[304],Saved,guardado
[305],Average Material Temp.,Temp. media material
[306],Current Axis,Eje actual
[307],Extended Resolution,Resolución ampliada
[308],Data Lost,Datos perdidos
[309],Information,Información
[310],Keyboard Position,Posic. por teclado
[311],Outside Target Window,Fuera de ventana de valores definidos
[312],Inside Target Window,En ventana de valores definidos
[313],Target List,Lista valores def.
[314],Interpolate,Interpolar
[315],Compensation Values,Valores de compensación
[316],None,ninguno
[317],Already running [%s] software,El programa de [%s] aún se est?ejecutando
[318],Offline Mode,Modo Offline
[319],Main Menu,Men?pral.
[320],Numeric Display,Display numérico
[321],Default Display Mode,Display de Men?defecto
[322],Advanced Options,Opciones avanzadas
[323],Pos. Uncertnty,Incertidumbre pos.
[324],Sorted by position number,Ordenado por nº posición
[325],Sorted by run number,Ordenado por nº recorrido
[326],Sorted by line number,Ordenados por nº de línea
[327],Number of total data pairs,Nº pares de datos totales
[328],Number of total data runs,Nº datos recorridos totales
[329],Axis 2 Data,Datos eje 2
[330],Out of spec,Fuera espec.
[331],Target Value,Valor definido
[332],Error Value,Valor de error
[333],Pos #,Nº pos.
[334],Run #,Nº rec.
[335],Line #,Línea Nº
[336],Point #,N?punto
[337],Position,Posición
[338],Coefficient of Thermal Expansion,
[339],Compensation Routine,
[340],Update Each %s ,
[341],Equation,
[342],Parameter,
[343],Air Conditions Used for Compensation of Laser Interferometer,
[344],Positioning Measurement,
[345],Estimation of Measurement Uncertainty,
[346],Laser Interferometer Measurement,
[347],Simplified Method,
[348],Average Industial Conditions,
[349],Improved Industrial Conditions,
[350],Contributors,
[351],Device,
[352],Measurement Length,
[353],Error Range,
[354],Alignment,
[355],Beam Alignment,
[356],Misalignment,
[357],Compensation of Workpiece Temperature,
[358],Thermal Expansion Coefficient,
[359],Difference to 20C,
[360],Temperature Measurement,
[361],Maximum,
[362],Machine Tool,
[363],Zero,
[364],Included in U(%s),
[365],Environmental Variation,
