Keysight E1733A String Table
TradChn

[1],Linear,線性
[4002],Click to start rotary measurement |Calibrate the accuracy of a rotary stage,單擊開始進行旋轉軸量測 | 量測旋轉盤的旋轉角度精度
[4003],Click to start angular measurement |Measure pitch or yaw along a linear path,單擊開始進行角度量測 | 量測偏擺或俯仰的角度誤差
[4004],Click to start way straightness measurement |Use angular optics to make straightness measurements at multiple points along a machine part such as a milling machine way.,單擊開始進行導軌直線度  | 利用角度鏡組量測軌道直線度誤差
[4005],Click to start time base linear measurement |Measure linear displacement over time,單擊開始進行線性時間基準量測 | 量測隨時間變化的位移量
[4006],Click to start straightness measurement |Use straightness optics to determine if a machine’s moveable part is moving along a straight path,單擊開始進行直線度量測 | 利用直線度鏡組所量測運動直線度誤差
[4007],"Click to start diagonal measurement |Use for volumetric analysis, as described in ANSI standard B5.54",單擊開始進行對角線量測 | 量測立體空間中的對角線定位精度
[4008],"Click to start squareness measurement |Use to determine if two machine axes are oriented, and move, perpendicular to each other",單擊開始進行垂直度量測 | 量測相互垂直的兩軸向間的垂直度誤差
[4009],Click to start the parallelism measurement |Use to determine if two machine axes move parallel to each other,單擊開始進行平行度量測 | 量測機床主軸平行度或共平面平行度
[4010],Click to start the flatness measurement |Measure the flatness error of a surface plate,單擊開始進行平面度量測 | 量測平面的平面度誤差
[4011],Click to start dual axis measurement |Calibrate the linear position accuracy of two linear guide synchronously,單擊開始進行線性雙軸量測 | 同時量測兩個軸向的定位精度
[4012],Click to start time base angular measurement |Measure angle value over time,單擊開始進行角度時間基準量測 | 量測隨時間變化的角度值
[4013],Click to start time base straightness measurement |Measurement straightness value over time,單擊開始進行直線性時間基準量測 | 量測隨時間變化的直線度數值
[4014],Setup basic options,設置軟體的基礎選項
[4015],Open the help file,打開幫助說明文件
[4016],Exit the program,退出軟體
[4017],Open an existing file |Start or review a measurement using saved data,打開現有文件 | 根據現有文件的設定進行量測
[4018],Display one less decimal place,少顯示一位數字
[4019],Display one more decimal place,多顯示一位數字
[4020],Change the sign of upper display number,改變上方顯示數值的正負號
[4021],Change the sign of lower display number,改變下方顯示數值的正負號
[4022],The status of the measurement module of second axis |Click to enter hardware setup menu,第2軸的量測設定 | 單擊後進入硬體設定頁面
[4023],The software is running in demo mode |Click to enter hardware setup menu,軟體處於展示模式 | 單擊後進入硬體設定頁面
[4024],The status of the laser head |Click to enter the hardware setup menu,雷射頭設置 | 單擊後進入硬體設定頁面
[4025],The status of the second laser head |Click to enter the hardware setup menu,第2隻雷射頭設置 | 單擊後進入硬體設定頁面
[4026],The status of the single axis measurement module |Click to enter the hardware setup menu,單軸量測設置 | 單擊後進入硬體設定頁面
[4027],The status of the sensor interface card |Click to enter the hardware setup menu,感測器介面設置 | 單擊後進入硬體設定頁面
[4028],The communication status of the single axis measurement module |Click to enter the hardware setup menu,單軸量測的負荷狀態 | 單擊後進入硬體設定頁面
[4029],Display the line correspond to the number on the right side as the first line,將數字右側的行顯示為第一行
[4030],Select the program to use for the download operation,執行下載文件中的檔案
[4031],Run the selected download program,執行用戶自定義的下載文件
[4032],Increase font size,放大字體
[4033],Decrease font size,縮小字體
[4034],Display the graph symmetrically,圖形對稱顯示
[4035],Display the graph,顯示全部圖形
[4036],"Enlarge the designated area |Press left button of the mouse, drag the pointer, and release the button",放大指定區域 | 在圖面上按住左鍵後拖移放大
[4037],Zoom in,放大圖形
[4038],Zoom out,縮小圖形
[4039],Copy the current data or graph to the clipboard,將目前量測數據或圖表複製到剪貼簿
[4040],The status of the measurement,當前的量測狀態
[4041],The progress of the measurement,量測的完成進度
[4042],Compensation table |Double click to enlarge or reduce,補償表 | 雙擊放大或復原
[4043],Machine information |Double click to enter machine information menu,機器資訊 | 雙擊進入機器資訊設定頁面
[4044],Measurement setup |Double click to  enter measurement setup interface,量測設定 | 雙擊進入量測設定頁面
[4045],Measurement results |Double click to enter the data analysis menu,量測結果 | 雙擊進入數據分析頁面
[4046],Save measurement settings or data,保存量測設定或數據
[4047],Print measurement results or report,列印量測結果或報告
[4048],Start or continue the measurement,開始或繼續量測
[4049],Record measurement data manually,手動記錄量測數據
[4050],Pause the measurement,暫停量測
[4051],Display help information,顯示幫助說明文件
[4052],Stop the measurement,結束本次量測
[4053],Erase the measurement data,刪除量測數據
[4054],"Reset laser data, erase error mark",雷射重新歸零、消除錯誤訊息
[4055],"Input measurement settings, measurement data or machine information",輸入量測設定、量測數據或機器資訊
[4056],Set up parameters,設定參數
[4057],Hardware information of the connected equipment,目前已連接的硬體設備訊息
[4058],The information of the connection and distribution of the sensors,感測器連接埠連線狀態
[4059],The list of the target positions,目標位置清單
[4060],The list of the target positions of the second axis,目標位置清單(第2軸)
                                                      
