Keysight E1733A String Table
French

[1],Linear,Lineaire
[188],System,Système
[189],Error Sign Convention,Convention de signe d'erreur
[190],Zero Point,Point zéro machine
[191],Machine Units,Unités machine
[192],Measurement Setup,Paramétrage mesure
[193],Machine Information,Information machine
[194],ISO Information,Information ISO
[195],Data Analysis,Analyse données
[196],Axis:,Axe:
[197],Deviation,Écart
[198],Port,Port
[199],Sensor,Capteur
[200],Description,Description
[201],Used for,Utilisé pour
[202],USB Axis Module,Module d'axe USB
[203],Sensor Hub,Module capteurs
[204],Material Sensor,Capteur matériau
[205],Air Sensor,Capteur air
[206],Serial No.,N° série
[207],Hardware,Matériel
[208],Test Record Button,Test du bouton Enregistrer
[209],Hardware Not Ready,Matériel pas prêt
[210],No License,Pas de licence
[211],Laser Off or Warming Up,Laser désactivé ou démarrage
[212],No Return Beam,Pas de retour faisceau
[213],Reset Position,Réinit. position
[214],Optics Out Of Range,Optique hors capacité
[215],Nameplate,Identification
[216],Step 1: Reset laser and rotary at 0 arcdeg,Étape 1: positionner le système à 0 degré
[217],Step 2: Sample between -3 and -4 arcdeg,Étape 2: se déplacer entre -3 et -4 degrés
[218],Step 3: Sample between +3 and +4 arcdeg,Étape 3: se déplacer entre 3 et 4 degrés
[219],Keysight Technologies Inc.,Keysight Technologies Inc.
[220],Revision,Révision
[221],Dimensional Metrology Software,Logiciel de Mesure Dimensionnelle
[222],All Rights Reserved,Tous droits réservés
[223],Open,Ouvrir
[224],Setup,Configuration
[225],Start,Début
[226],Reset,Initialisation
[227],Continue,Continuer
[228],Stop,Arrêter
[229],Save,Sauvegarde
[230],Print,Imprimer
[231],Record,Enregistrer
[232],Erase,Effacer
[233],Help,Aide
[234],Exit,Sortie
[235],OK,OK
[236],Cancel,Annuler
[237],Calibrate,Calibrer
[238],Recalculate,Recalculer
[239],Apply,Actualiser
[240],Import,Importer
[241],Setup + Data,Config. + données
[242],All Data,Toutes les données
[243],Last Run,Dernière passe
[244],Last Data,Dernier point
[245],Setup Only,Config. seule
[246],Raw Data,Données brutes
[247],Compensation Table,Table de compensation
[248],Environmental Data,Données d'environnement
[249],Setup Printer,Param. imprimante
[250],Report,Rapport
[251],Collecting data . . .,Acquisition données . . .
[252],Text File,Fichier texte
[253],CSV (comma delimited),CSV (séparateur virgule)
[254],Plus/Minus,Plus/moins
[255],Closure,Fermeture
[256],Elevation,Élévation
[257],Data Point,Donnée
[258],Combined,Combinée
[259],Forward,Aller
[260],Reverse,Retour
[261],Warning,Attention
[262],Tested Axis,Axe contrôlé
[263],Axis Deviation,Écart de l'axe
[264],Reversal Value,Valeur de réversibilité
[265],Mean Reversal Value,Valeur moyenne de réversibilité
[266],Range Mean Bidirectional Positional Deviation,Étendue de l'écart de position bidirectionnel moyen
[267],Systematic Positional Deviation,Écart de position systématique
[268],Repeatability of Positioning,Répétabilité de positionnement
[269],Accuracy,Précision
[270],Unidirectional,Unidirectionnel
[271],Bidirectional,Bidirectionnel
[272],Not Applicable,Non applicable
[273],Target Position,Position cible
[274],Approach Direction,Sens d'approche
[275],Positional Deviation,Écart de position
[276],Mean Unidir. Pos. Dev.,Écart de position unidir. moyen
[277],Est. of Standard Uncertainty,Est. de l'incertitude
[278],Unidir. Repeatability,Répétabilité unidirectionnelle
[279],Bidir. Repeatability,Répétabilité bidirectionnelle
[280],(Used for NDE Correction),(Utilisé pour la correction DDN)
[281],Data not saved,Données non sauvegardées
[282],Measurement not completed,Mesure incomplète
[283],Reset position?,Reset position?
[284],Measurement completed,Mesure complète
[285],Measurement terminated,Mesure terminée
[286],Measurement completed with %d data lost,Mesure terminée mais avec %d données perdues
[287],Measurement of current axis completed,Mesure de l'axe courant complète
[288],Cannot open file,Ouverture fichier impossible
[289],Cannot save file,Sauvegarde fichier impossible
[290],%s / %s must be an integer,%s / %s doit être un entier
[291],Inconsistent values,Valeurs incohérentes
[292],Invalid entry,Entrée invalide
[293],No. of cycles doesn't comply ISO standard. Print?,Nb de cycles non conforme à la norme ISO. Imprimer?
[294],All Files,Tous les fichiers
[295],Legacy Files,Ancien format
[296],Firmware,Programme
[297],Driver,Driver
[298],Library,Librairie
[299],User Calibration,Calibration utilisateur
[300],Shift,Gain
[301],Modify data by user?,Données modifié par l'utilisateur?
[302],Optics,Système optique
[303],Default,Défaut
[304],Saved,Sauvegardé
[305],Average Material Temp.,Temp. matériau moyenne
[306],Current Axis,Axe courant
[307],Extended Resolution,Résolution étendue
[308],Data Lost,Donnée perdue
[309],Information,Information
[310],Keyboard Position,Position clavier
[311],Outside Target Window,En dehors fenêtre cible
[312],Inside Target Window,Dans fenêtre cible
[313],Target List,Liste des cibles
[314],Interpolate,Interpolation
[315],Compensation Values,Valeurs de compensation
[316],None,Aucun
[317],Already running [%s] software,Logiciel [%s] déjà lancé
[318],Offline Mode,Mode hors connexion
[319],Main Menu,Menu principal
[320],Numeric Display,Affichage numérique
[321],Default Display Mode,Mode d'affichage par défaut
[322],Advanced Options,Options avancées
[323],Pos. Uncertnty,Incert. pos.
