Keysight E1733A String Table
French

[1],Linear,Lineaire
[3155],Display data in the graph,Affichage des données dans le graphique
[3156],Graphical analysis options,Options d'analyse graphique
[3157],Data analysis options,Options d'analyse de données
[3158],Select to display the slope of the fitting line,Sélectionnez pour afficher la pente de la ligne d'ajustement
[3159],Select measurement standard,Sélectionne la norme de mesure
[3160],Unselect to cancel the modification for the standard,Désélectionnez pour annuler les modifications pour la norme
[3161],Enter the name of the operator for the operation,Entrez le nom de l'opérateur
[3162],Enter the location of the measurement,Entrez le lieu de réalisation des mesures
[3163],Enter the name of the machine,Entrez le nom de la machine
[3164],Enter the type of the machine,Entrez le type de la machine
[3165],Enter the serial number of the machine,Entrez le numéro de série de la machine
[3166],Enter the model number of the machine,Entrez le modèle de la machine
[3167],Enter the property number of the machine,Entrez le numéro d'identification de la machine
[3168],Enter the calibration date,Entrez la date de calibration
[3169],The file name for the saved settings,Nom du fichier pour les configurations sauvegardées
[3170],Enter other notes to be saved,Entrez d'autres informations à sauvegarder
[3171],Enter the type of the device to be measured,Entrez le type de dispositif à mesurer
[3172],Enter the compensation method for the device to be measured,Entrez la méthode de compensation du dispositif à mesurer
[3173],Enter the feed speed for the measurement,Entrez la vitesse pour la mesure
[3174],Enter the dwell time for the object at each position,Entrez le temps d'attente pour le mobile à chaque position
[3175],Enter the thermal coefficient of the device to be measured,Entrez le coefficient thermique du dispositif à mesurer
[3176],Select if NDE correction is used,Sélectionne si la correction DDN est utilisée
[3177],Enter the name and serial number of the instrument used for the measurement,Entrez le nom et le numéro de série de l'instrument utilisé pour la mesure
[3178],Enter the locations of the axes not used in the calibration,Entrez la position des axes non utilisés pour la mesure
[3179],Enter the reference bias of the tool in X direction,Entrez le décalage par rapport à la référence de l'outil suivant l'axe X
[3180],Enter the reference bias of the device in X direction,Entrez le décalage par rapport à la référence de la pièce suivant l'axe X
[3181],Enter the reference bias of the tool in Y direction,Entrez le décalage par rapport à la référence de l'outil suivant l'axe Y
[3182],Enter the reference bias of the tool in Y direction,Entrez le décalage par rapport à la référence de l'outil suivant l'axe Z
[3183],Enter the reference bias of the device in Y direction,Entrez le décalage par rapport à la référence de la pièce suivant l'axe Y
[3184],Enter the reference bias of the device in Y direction,Entrez le décalage par rapport à la référence de la pièce suivant l'axe Z
[3185],Enter the coordinate of the material sensor 1,Emplacement du capteur matériau 1
[3186],Enter the coordinate of the material sensor 2,Emplacement du capteur matériau 2
[3187],Enter the coordinate of the air sensor,Emplacement du capteur d'air
[3188],Enter the coordinate of the material sensor 3,Emplacement du capteur matériau 3
[3189],The update time of the sensor data in the compensation program,Le temps de mise à jour des données du capteur dans le programme de compensation
[3190],Enter the maximum difference between the environmental temperature and 20 degree C during the measurement,Entrez la plus grande différence entre la température d'air et 20°C pendant la mesure
[3191],Enter the maximum error of the material sensors used during the measurement,Entrez la valeur maximale relevée des capteurs matériau utilisés pendant la mesure
[3192],The maximum length of the measurement,La distance maximale de mesure
[3193],The error range of the instruments used in the measurement,L'échelle de mesure des instruments utilisée pendant la mesure
[3194],Enter the estimated error from the optic alignment in the measurement,Entrez l'erreur estimée de l'alignement des optiques pendant la mesure
[3195],Enter the uncertainty of the expansion coefficient in the measurement,Entrez l'incertitude du coefficient de dilatation pendant la mesure
[3196],Enter the estimated error from the change of the environmental parameters in the measurement,Entrez l'erreur estimée des variations des paramètres environnementaux
[3197],Select if the instruments used in the measurement are calibrated,Sélectionne si les instruments utilisés sont étalonnés
[3198],Select the serial number of the E1735A for the second axis,Sélectionne le numéro de série du boîtier E1735A pour le deuxième axe
[3199],Select the serial number of the E1736A for the second axis,Sélectionne le numéro de série du boîtier E1735A pour le deuxième axe
[3200],Select the serial number of the E1735A for the first axis,Sélectionne le numéro de série du boîtier E1735A pour le premier axe
[3201],Select the serial number of the E1736A for the first axis,Sélectionne le numéro de série du boîtier E1735A pour le premier axe
[3202],Display help information when the mouse cursor moves over an item,
[3203],Leave extra margin on selected side of paper,

[4001],Click to start linear measurement |Calibrate the accuracy of a linear guide,Clic pour démarrer la mesure linéaire |Calibre la précision d'un dispositif linéaire
[4002],Click to start rotary measurement |Calibrate the accuracy of a rotary stage,Clic pour démarrer la mesure rotation |Calibre la précision d'un dispositif rotatif
[4003],Click to start angular measurement |Measure pitch or yaw along a linear path,Clic pour démarrer la mesure angulaire |Mesure le tangage ou le lacet d'un déplacement linéaire
[4004],Click to start way straightness measurement |Use angular optics to make straightness measurements at multiple points along a machine part such as a milling machine way.,Clic pour démarrer la mesure rectitude de chemin |Utilise les optiques angulaires pour réaliser une mesure de rectitude sur une portion de machine telle qu'une fraiseuse
[4005],Click to start time base linear measurement |Measure linear displacement over time,Clic pour démarrer la mesure base temps en linéaire |Mesure un déplacement linéaire par rapport au temps
[4006],Click to start straightness measurement |Use straightness optics to determine if a machine’s moveable part is moving along a straight path,Clic pour démarrer la mesure rectitude |Utilise les optiques de rectitude pour déterminer si les parties en mouvement d'une machine se déplacent suivant une droite
[4007],"Click to start diagonal measurement |Use for volumetric analysis, as described in ANSI standard B5.54","Clic pour démarrer la mesure de diagonales |À utiliser pour une analyse volumétrique, telle que décrite dans la norme ANSI B5.54"
[4008],"Click to start squareness measurement |Use to determine if two machine axes are oriented, and move, perpendicular to each other",Clic pour démarrer la mesure d'équerrage |À utiliser pour déterminer si deux axes machines se déplacent perpendiculairement l'un par rapport à l'autre
[4009],Click to start the parallelism measurement |Use to determine if two machine axes move parallel to each other,Clic pour démarrer la mesure de parallélisme |À utiliser pour déterminer si deux axes machines se déplacent parallèlement l'un par rapport à l'autre
[4010],Click to start the flatness measurement |Measure the flatness error of a surface plate,Clic pour démarrer la mesure de planéité |Mesure la planéité d'une surface plane
[4011],Click to start dual axis measurement |Calibrate the linear position accuracy of two linear guide synchronously,Clic pour démarrer la mesure double axes |Calibre simultanément la précision de deux éléments linéaires
[4012],Click to start time base angular measurement |Measure angle value over time,Clic pour démarrer la mesure base temps en angulaire |Mesure une valeur d'angle par rapport au temps
[4013],Click to start time base straightness measurement |Measurement straightness value over time,Clic pour démarrer la mesure base temps en rectitude |Mesure une valeur de rectitude par rapport au temps
[4014],Setup basic options,Paramétrage options de base
[4015],Open the help file,Ouvre le fichier d'aide
[4016],Exit the program,Sort du programme
[4017],Open an existing file |Start or review a measurement using saved data,Ouvre un fichier existant |Démarre ou relit une sauvegarde de données
[4018],Display one less decimal place,Affiche une décimale en moins
[4019],Display one more decimal place,Affiche une décimale en plus
[4020],Change the sign of upper display number,Change le signe de l'affichage numérique supérieur
[4021],Change the sign of lower display number,Change le signe de l'affichage numérique inférieur
[4022],The status of the measurement module of second axis |Click to enter hardware setup menu,Status du module de mesure du deuxième axe |Cliquez pour ouvrir le menu de configuration du matériel
[4023],The software is running in demo mode |Click to enter hardware setup menu,Le logiciel fonctionne en mode démo |Cliquez pour ouvrir le menu de configuration du matériel
[4024],The status of the laser head |Click to enter the hardware setup menu,Status de la source laser |Cliquez pour ouvrir le menu de configuration du matériel
[4025],The status of the second laser head |Click to enter the hardware setup menu,Status de la deuxième source laser |Cliquez pour ouvrir le menu de configuration du matériel
[4026],The status of the single axis measurement module |Click to enter the hardware setup menu,Status du module de mesure simple axe |Cliquez pour ouvrir le menu de configuration du matériel
[4027],The status of the sensor interface card |Click to enter the hardware setup menu,Status de l'interface capteur |Cliquez pour ouvrir le menu de configuration du matériel
[4028],The communication status of the single axis measurement module |Click to enter the hardware setup menu,Status de communication du module de mesure simple axe |Cliquez pour ouvrir le menu de configuration du matériel
[4029],Display the line correspond to the number on the right side as the first line,Affiche la ligne correspondant au numéro sur le coté droit comme la première ligne
[4030],Select the program to use for the download operation,Exécute le fichier de l'opération de chargement
[4031],Run the selected download program,Exécute l'opération de chargement défine par l'utilisateur
[4032],Increase font size,Augmente la taille de police de caractère
[4033],Decrease font size,Diminue la taille de police de caractère
[4034],Display the graph symmetrically,Affiche le graphique symétriquement
[4035],Display the graph,Affiche le graphique
[4036],"Enlarge the designated area |Press left button of the mouse, drag the pointer, and release the button","Augmente la zone désignée |Presser le bouton gauche de la souris, faire glisser le pointeur et relâcher le bouton"
[4037],Zoom in,Zoom avant
[4038],Zoom out,Zoom arrière
[4039],Copy the current data or graph to the clipboard,Copie les données courantes ou le graphique dans le presse-papier
[4040],The status of the measurement,Status de la mesure
[4041],The progress of the measurement,Progression de la mesure
[4042],Compensation table |Double click to enlarge or reduce,Table de compensation |Double-clic pour élargir ou réduire
[4043],Machine information |Double click to enter machine information menu,Information machine |Double-clic pour ouvrir le menu d'information machine
[4044],Measurement setup |Double click to  enter measurement setup interface,Paramétrage de la mesure |Double-clic pour ouvrir l'interface de paramétrage de la mesure
[4045],Measurement results |Double click to enter the data analysis menu,Résultats de mesure |Double-clic pour ouvrir le menu d'analyse de données
[4046],Save measurement settings or data,Sauvegarde les paramétrages de mesure ou les données
[4047],Print measurement results or report,Imprime les résultats de mesure ou le rapport
[4048],Start or continue the measurement,Démarre ou continue la mesure
[4049],Record measurement data manually,Enregistre manuellement les données de mesure
[4050],Pause the measurement,Pause dans les mesures
[4051],Display help information,Affiche les informations d'aide
[4052],Stop the measurement,Arrête les mesures
[4053],Erase the measurement data,Efface les données de mesure
[4054],"Reset laser data, erase error mark","Initialise les données du laser, efface les messages d'erreur"
[4055],"Input measurement settings, measurement data or machine information","Entrée des paramétrages de mesure, de données de mesure ou d'information machine"
[4056],Set up parameters,Paramètres de configuration
[4057],Hardware information of the connected equipment,Informations matérielles sur l'équipement connecté
[4058],The information of the connection and distribution of the sensors,Information sur la connection et la répartition des capteurs
[4059],The list of the target positions,Liste des points cible
[4060],The list of the target positions of the second axis,Liste des points cible du deuxième axe
